action,step,sched,DataExfiltration,WebReconSuccesful,AccesstoMySQL,AccesstoReverseShell,AccesstoExecuteArbitraryCode,AccesstoSensitiveFiles,WebserverPubliclyExposed,SOCKS5ProxyActive,CGIscriptsenabled,MisconfiguredApache,VulnerableApacheHTTPServerVersion,UnencryptedFiles,progressexfiltrateData,progressbufferOverflow,progressgetFiles,progresswebRecon,progresspathTraversal,progressgetLoginData,time1,progressencryptFile,progressupdateApache,progresschangeFilePermissions,progressdeactivateSOCKS5Proxy,progresschangeCredentials,progressdisableCGIScripts,progressreconfigureApache,time2,state_reward1,transition_reward1,state_reward2,transition_reward2
[wait1],31,2,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,0,0.0,0,0.0
[wait2],32,1,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,0.0,0,0.0
[endbufferOverflow],33,1,0,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,50.0,0,0.0
[startexfiltrateData],34,2,0,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,0.0,0,0.0
[wait2],35,1,0,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,0.0,0,0.0
[wait1],36,2,0,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,0.0,0,0.0
[wait2],37,1,0,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0.0,0,0.0
[wait1],38,2,0,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0.0,0,0.0
[wait2],39,1,0,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0.0,0,500.0
[endexfiltrateData],40,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,?,0,?
